cocktail,ingredient_primary,ingredient_sub,measure,amount
Bentley,Dubonnet Rouge,,Ounce,1.5
Bentley,Orange Twist,,Garnish,1
Bentley,Stir,,Method,1
Bentley,Up,,Serve,1
Bizzy Izzy Highball,Rye,,Ounce,1
Bizzy Izzy Highball,Sherry,,Ounce,1
Bizzy Izzy Highball,Pineapple Juice,,Ounce,1
Bizzy Izzy Highball,Lemon,,Ounce,0.75
Bizzy Izzy Highball,Simple Syrup,,Ounce,0.5
Bizzy Izzy Highball,Angostura Bitters,,Dash,2
Bizzy Izzy Highball,Lemon Wheel,,Garnish,1
Bizzy Izzy Highball,Shake,,Method,1
Bizzy Izzy Highball,Collins,,Serve,1
Bronx,Gin,London Dry,Ounce,2
Bronx,Vermouth,Sweet,Ounce,0.5
Bronx,Vermouth,Dry,Ounce,0.5
Bronx,Orange Juice,,Ounce,0.1667
Bronx,Pineapple Juice,,Ounce,0.1667
Bronx,Shake,,Method,1
Bronx,Up,,Serve,1
Cameron's Kick,Scotch,Blended,Ounce,1
Cameron's Kick,Whiskey,Irish,Ounce,1
Cameron's Kick,Lemon,,Ounce,0.75
Cameron's Kick,Orgeat,,Ounce,0.5
Cameron's Kick,Shake,,Method,1
Cameron's Kick,Up,,Serve,1
Claridge Cocktail,Gin,,Ounce,1.25
Claridge Cocktail,Vermouth,,Ounce,1.25
Claridge Cocktail,Apricot Liqueur,,Ounce,0.5
Claridge Cocktail,Curacao,,Ounce,0.25
Claridge Cocktail,Stir,,Method,1
Claridge Cocktail,Up,,Serve,1
Cloister Cocktail,Gin,London Dry,Ounce,1.5
Cloister Cocktail,Yellow Chartreuse,,Ounce,0.5
Cloister Cocktail,Grapefruit Juice,,Ounce,0.5
Cloister Cocktail,Lemon,,Ounce,0.5
Cloister Cocktail,Simple Syrup,,Ounce,0.25
Cloister Cocktail,Shake,,Method,1
Cloister Cocktail,Up,,Serve,1
Cooperstown Cocktail,Gin,Old Tom,Ounce,2
Cooperstown Cocktail,Vermouth,Dry,Ounce,0.75
Cooperstown Cocktail,Mint Sprig,,Garnish,1
Cooperstown Cocktail,Stir,,Method,1
Cooperstown Cocktail,Up,,Serve,1
Corpse Reviver #1,Cognac,,Ounce,1.5
Corpse Reviver #1,Calvados,,Ounce,0.75
Corpse Reviver #1,Vermouth,,Ounce,0.75
Corpse Reviver #1,Orange Twist,,Garnish,1
Corpse Reviver #1,Stir,,Method,1
Corpse Reviver #1,Up,,Serve,1
Death in the Afternoon,Absinthe,,Ounce,0.5
Death in the Afternoon,Sparkling Wine,,Ounce,5
Death in the Afternoon,Lemon Twist,,Garnish,1
Death in the Afternoon,Stir,,Method,1
Death in the Afternoon,Up,,Serve,1
Diamondback,Rye,,Ounce,2
Diamondback,Apple Brandy,,Ounce,0.75
Diamondback,Yellow Chartreuse,,Ounce,0.75
Diamondback,Stir,,Method,1
Diamondback,Up,,Serve,1
Dr. Funk,Rum,White,Ounce,1.5
Dr. Funk,Lime,,Ounce,0.75
Dr. Funk,Grenadine,,Ounce,0.75
Dr. Funk,Absinthe,,Dash,4
Dr. Funk,Seltzer,,Ounce,2
Dr. Funk,Cherry,,Garnish,1
Dr. Funk,Shake,,Method,1
Dr. Funk,Collins,,Serve,1
El Diablo,Tequila,Blanco,Ounce,2
El Diablo,Creme de Cassis,,Ounce,0.25
El Diablo,Lime,,Ounce,0.75
El Diablo,Ginger Syrup,,Ounce,0.5
El Diablo,Lime Wheel,,Garnish,1
El Diablo,Seltzer,,Ounce,2
El Diablo,Shake,,Method,1
El Diablo,Collins,,Serve,1
El Presidente,Rum,White,Ounce,2
El Presidente,Vermouth,Dry,Ounce,1
El Presidente,Curacao,,Ounce,0.25
El Presidente,Grenadine,,Ounce,0.1667
El Presidente,Orange Twist,,Garnish,1
El Presidente,Stir,,Method,1
El Presidente,Up,,Serve,1
Fair and Warmer,Rum,White,Ounce,2
Fair and Warmer,Vermouth,Sweet,Ounce,1
Fair and Warmer,Curacao,,Ounce,0.1667
Fair and Warmer,Orange Twist,,Garnish,1
Fair and Warmer,Stir,,Method,1
Fair and Warmer,Up,,Serve,1
Ward 8,Rye,,Ounce,2
Ward 8,Lemon,,Ounce,0.5
Ward 8,Grenadine,,Ounce,0.75
Ward 8,Orange Juice,,Ounce,0.25
Ward 8,Shake,,Method,1
Ward 8,Up,,Serve,1
